     St.no       Date         RR         SA         SD SLAG     
     50540 03.04.1984          .          0          0    -                   
     50540 04.04.1984          .          0          0    -                   
     50540 05.04.1984        0.2          0          0   30                      
     50540 06.04.1984          .          0          0    -                   
     50540 07.04.1984        0.3          0          0    3                     
     50540 08.04.1984        0.1          0          0    3                     
     50540 09.04.1984        3.4          0          0    3                     
     50540 10.04.1984          .          0          0    -                   
     50540 11.04.1984       11.3          0          0   30                       
     50540 12.04.1984       10.6          0          0   30                       
     50540 13.04.1984        6.2          0          0    3                     
     50540 14.04.1984       16.0          0          0    3                      
     50540 15.04.1984       49.4          0          0    3                      
     50540 16.04.1984        4.0          0          0    3                     
     50540 17.04.1984        8.1          1          4   30                      
     50540 18.04.1984        1.6          0          0    2                     
     50540 19.04.1984        1.5          0          0    3                     
     50540 20.04.1984       15.1          0          0    3                      
     50540 21.04.1984        2.1          0          0    3                     
     50540 22.04.1984       11.6          0          0    3                      
     50540 23.04.1984        3.2          0          0    3                     
     50540 24.04.1984          .          0          0    -                   
     50540 25.04.1984          .          0          0    -                   
     50540 26.04.1984          .          0          0    -                   
     50540 27.04.1984          .          0          0    -                   
     50540 28.04.1984          .          0          0    -                   
     50540 29.04.1984          .          0          0    -                   
     50540 30.04.1984          .          0          0    -                   
     50540 01.05.1984          .          0          0    -                   
     50540 02.05.1984        0.0          0          0    3                     
     50540 03.05.1984        0.0          0          0    3                     
     50540 04.05.1984        1.0          0          0    3                     
     50540 05.05.1984        1.0          0          0    3                     
     50540 06.05.1984        9.2          0          0   30                      
     50540 07.05.1984        5.6          0          0   30                      
     50540 08.05.1984        0.0          0          0    3                     
     50540 09.05.1984          .          0          0    -                   
     50540 10.05.1984          .          0          0    -                   
     50540 11.05.1984          .          0          0    -                   
     50540 12.05.1984          .          0          0    -                   
     50540 13.05.1984          .          0          0    -                   
     50540 14.05.1984          .          0          0    -                   
     50540 15.05.1984          .          0          0    -                   
     50540 16.05.1984        1.1          0          0    3                     
     50540 17.05.1984        2.3          0          0    3                     
     50540 18.05.1984        0.1          0          0    3                     
     50540 19.05.1984        2.8          0          0    3                     
     50540 20.05.1984        2.5          0          0    3                     
     50540 21.05.1984        0.1          0          0    3                     
     50540 22.05.1984        0.0          0          0    3                     
     50540 23.05.1984          .          0          0    -                   
     50540 24.05.1984          .          0          0    -                   
     50540 25.05.1984          .          0          0    -                   
     50540 26.05.1984        3.5          0          0    3                     
     50540 27.05.1984        0.7          0          0    3                     
     50540 28.05.1984          .          0          0    -                   
     50540 29.05.1984        0.0          0          0    3                     
     50540 30.05.1984        3.5          0          0    3                     
     50540 31.05.1984        1.2          0          0    3                     
     50540 01.06.1984          .          0          0    -                   
     50540 02.06.1984        0.9          0          0    3                     
     50540 03.06.1984       10.5          0          0    3                      
     50540 04.06.1984          .          0          0    -                   
     50540 05.06.1984          .          0          0    -                   
     50540 06.06.1984          .          0          0    -                   
     50540 07.06.1984          .          0          0    -                   
     50540 08.06.1984          .          0          0    -                   
     50540 09.06.1984          .          0          0    -                   
     50540 10.06.1984          .          0          0    -                   
     50540 11.06.1984          .          0          0    -                   
     50540 12.06.1984        0.0          0          0    3                     
     50540 13.06.1984       23.8          0          0    3                      
     50540 14.06.1984       15.5          0          0    3                      
     50540 15.06.1984          .          0          0    -                   
     50540 16.06.1984          .          0          0    -                   
     50540 17.06.1984        0.0          0          0    3                     
     50540 18.06.1984          .          0          0    -                   
     50540 19.06.1984       17.2          0          0    3                      
     50540 20.06.1984       18.8          0          0    3                      
     50540 21.06.1984       12.7          0          0    3                      
     50540 22.06.1984        5.6          0          0    3                     
     50540 23.06.1984        3.1          0          0    3                     
     50540 24.06.1984        7.8          0          0    3                     
     50540 25.06.1984          .          0          0    -                   
     50540 26.06.1984          .          0          0    -                   
     50540 27.06.1984        3.1          0          0    3                     
     50540 28.06.1984        2.6          0          0    3                     
     50540 29.06.1984          .          0          0    -                   
     50540 30.06.1984        0.0          0          0    3                     
     50540 01.07.1984          .          0          0    -                   
     50540 02.07.1984        0.1          0          0    3                     
     50540 03.07.1984          .          0          0    -                   
     50540 04.07.1984          .          0          0    -                   
     50540 05.07.1984          .          0          0    -                   
     50540 06.07.1984          .          0          0    -                   
     50540 07.07.1984        0.0          0          0    3                     
     50540 08.07.1984        0.5          0          0    3                     
     50540 09.07.1984          .          0          0    -                   
