Flyplass,ICAO,IATA,airline,flight_id,dom_int,schedule_time,arr_dep,airport,via_airport,gate,code,time,uniqueID,delayed,check_in,delayed_minutes
Oslo lufthavn,ENGM,OSL,DY,DY7251,I,2020-01-12T18:00:00Z,D,KBV,NA,F16,D,2020-01-12T17:52:00Z,9044182,1,3,-8
Oslo lufthavn,ENGM,OSL,SK,SK4434,D,2020-01-12T18:05:00Z,D,ALF,TOS,B5,D,2020-01-12T18:12:00Z,9065473,1,6 8,7
Oslo lufthavn,ENGM,OSL,SK,SK463,S,2020-01-12T18:05:00Z,D,CPH,NA,D3,D,2020-01-12T18:04:00Z,9044613,1,6 8,-1
Oslo lufthavn,ENGM,OSL,DY,DY770,D,2020-01-12T18:15:00Z,D,TRD,NA,A14,D,2020-01-12T18:14:00Z,9044221,1,3,-1
Oslo lufthavn,ENGM,OSL,DY,DY368,D,2020-01-12T18:15:00Z,D,EVE,NA,A19,D,2020-01-12T18:22:00Z,9044026,1,3,7
Oslo lufthavn,ENGM,OSL,SK,SK815,I,2020-01-12T18:15:00Z,D,LHR,NA,F19,D,2020-01-12T18:15:00Z,9044641,1,6 8,0
Oslo lufthavn,ENGM,OSL,DY,DY548,D,2020-01-12T18:15:00Z,D,SVG,NA,B2,D,2020-01-12T19:28:00Z,9044118,1,3,73
Oslo lufthavn,ENGM,OSL,SK,SK291,D,2020-01-12T18:20:00Z,D,BGO,NA,A10,D,2020-01-12T18:33:00Z,9074282,1,6 8,13
Oslo lufthavn,ENGM,OSL,DY,DY998,S,2020-01-12T18:20:00Z,D,BLL,NA,D7,D,2020-01-12T18:36:00Z,9044251,1,3,16
Oslo lufthavn,ENGM,OSL,SK,SK4055,D,2020-01-12T18:25:00Z,D,SVG,NA,A8,D,2020-01-12T18:21:00Z,9044502,1,6 8,-4
Oslo lufthavn,ENGM,OSL,SK,SK4098,D,2020-01-12T18:25:00Z,D,EVE,NA,B1,D,2020-01-12T18:21:00Z,9023679,1,6 8,-4
Oslo lufthavn,ENGM,OSL,WF,WF157,D,2020-01-12T18:30:00Z,D,SDN,SOG,A27,D,2020-01-12T18:30:00Z,9044756,1,6 8,0
Oslo lufthavn,ENGM,OSL,SK,SK492,S,2020-01-12T18:35:00Z,D,ARN,NA,D1,D,2020-01-12T18:28:00Z,9044622,1,6 8,-7
Oslo lufthavn,ENGM,OSL,DY,DY390,D,2020-01-12T18:45:00Z,D,TOS,NA,A15,D,2020-01-12T18:47:00Z,9044044,1,3,2
Oslo lufthavn,ENGM,OSL,DY,DY648,D,2020-01-12T18:50:00Z,D,BGO,NA,A8,D,2020-01-12T19:37:00Z,9044178,1,3,47
Oslo lufthavn,ENGM,OSL,SK,SK320,D,2020-01-12T18:55:00Z,D,HAU,NA,A21,D,2020-01-12T18:53:00Z,9044452,1,6 8,-2
Oslo lufthavn,ENGM,OSL,DY,DY418,D,2020-01-12T19:00:00Z,D,AES,NA,A2,D,2020-01-12T18:56:00Z,9044072,1,3,-4
Oslo lufthavn,ENGM,OSL,DY,DY196,D,2020-01-12T19:00:00Z,D,HAU,NA,C6,D,2020-01-12T18:55:00Z,9043968,1,3,-5
Oslo lufthavn,ENGM,OSL,DY,DY356,D,2020-01-12T19:00:00Z,D,BOO,NA,C9,D,2020-01-12T18:50:00Z,9044016,1,3,-10
Oslo lufthavn,ENGM,OSL,SK,SK380,D,2020-01-12T19:05:00Z,D,TRD,NA,A6,D,2020-01-12T19:17:00Z,9044476,1,6 8,12
